macAddress,timeEslapsed,RSSI, ratioRSSI, calculatedDistance, mydistance, realDistance
D9:C0:35:1C:55:5A,51206,-64,0.831168831,0.19,0.57,0.5
D9:C0:35:1C:55:5A,52342,-66,0.857142857,0.19,0.58,0.5
D9:C0:35:1C:55:5A,53489,-65,0.844155844,0.19,0.56,0.5
D9:C0:35:1C:55:5A,54638,-67,0.87012987,0.2,0.57,0.5
D9:C0:35:1C:55:5A,55822,-67,0.87012987,0.2,0.56,0.5
D9:C0:35:1C:55:5A,56951,-67,0.87012987,0.2,0.58,0.5
D9:C0:35:1C:55:5A,58136,-65,0.844155844,0.19,0.6,0.5
D9:C0:35:1C:55:5A,59250,-64,0.831168831,0.2,0.58,0.5
D9:C0:35:1C:55:5A,968,-71,0.922077922,0.34,1.28,1
D9:C0:35:1C:55:5A,2118,-74,0.961038961,0.36,1.48,1
D9:C0:35:1C:55:5A,3269,-75,0.974025974,0.4,1.66,1
D9:C0:35:1C:55:5A,4432,-75,0.974025974,0.4,1.8,1
D9:C0:35:1C:55:5A,5570,-76,0.987012987,0.43,1.94,1
D9:C0:35:1C:55:5A,6695,-71,0.922077922,0.44,1.9,1
D9:C0:35:1C:55:5A,7859,-74,0.961038961,0.44,1.95,1
D9:C0:35:1C:55:5A,9057,-73,0.948051948,0.44,1.97,1
D9:C0:35:1C:55:5A,10172,-77,1,0.46,2.07,1
D9:C0:35:1C:55:5A,11310,-77,1,0.48,2.17,1
D9:C0:35:1C:55:5A,12472,-79,1.025974026,0.5,2.29,1
D9:C0:35:1C:55:5A,13619,-72,0.935064935,0.51,2.26,1
D9:C0:35:1C:55:5A,14769,-79,1.025974026,0.53,2.37,1
D9:C0:35:1C:55:5A,15896,-74,0.961038961,0.56,2.37,1
D9:C0:35:1C:55:5A,17042,-75,0.974025974,0.58,2.39,1
D9:C0:35:1C:55:5A,18175,-73,0.948051948,0.61,2.38,1
D9:C0:35:1C:55:5A,19297,-76,0.987012987,0.65,2.44,1
D9:C0:35:1C:55:5A,20467,-73,0.948051948,0.66,2.5,1
D9:C0:35:1C:55:5A,21618,-73,0.948051948,0.68,2.55,1
D9:C0:35:1C:55:5A,22732,-72,0.935064935,0.68,2.57,1
D9:C0:35:1C:55:5A,23871,-73,0.948051948,0.68,2.6,1
D9:C0:35:1C:55:5A,25001,-78,1.012987013,0.69,2.68,1
D9:C0:35:1C:55:5A,26314,-78,1.012987013,0.69,2.73,1
D9:C0:35:1C:55:5A,27392,-74,0.961038961,0.71,2.71,1
D9:C0:35:1C:55:5A,28524,-74,0.961038961,0.71,2.68,1
D9:C0:35:1C:55:5A,29679,-70,0.909090909,0.71,2.68,1
D9:C0:35:1C:55:5A,30851,-73,0.948051948,0.7,2.66,1
D9:C0:35:1C:55:5A,31986,-74,0.961038961,0.71,2.68,1
D9:C0:35:1C:55:5A,33240,-79,1.025974026,0.71,2.71,1
D9:C0:35:1C:55:5A,34373,-72,0.935064935,0.71,2.62,1
D9:C0:35:1C:55:5A,35508,-79,1.025974026,0.73,2.62,1
D9:C0:35:1C:55:5A,36661,-75,0.974025974,0.75,2.68,1
D9:C0:35:1C:55:5A,37817,-74,0.961038961,0.75,2.59,1
D9:C0:35:1C:55:5A,38968,-74,0.961038961,0.74,2.59,1
D9:C0:35:1C:55:5A,40086,-72,0.935064935,0.73,2.53,1
D9:C0:35:1C:55:5A,41291,-70,0.909090909,0.71,2.48,1
D9:C0:35:1C:55:5A,42396,-75,0.974025974,0.7,2.46,1
D9:C0:35:1C:55:5A,43544,-69,0.896103896,0.7,2.41,1
D9:C0:35:1C:55:5A,44683,-70,0.909090909,0.68,2.36,1
D9:C0:35:1C:55:5A,45805,-70,0.909090909,0.64,2.33,1
D9:C0:35:1C:55:5A,46937,-69,0.896103896,0.62,2.26,1
D9:C0:35:1C:55:5A,48077,-69,0.896103896,0.59,2.11,1
D9:C0:35:1C:55:5A,49229,-68,0.883116883,0.57,1.97,1
D9:C0:35:1C:55:5A,50337,-69,0.896103896,0.56,1.9,1
D9:C0:35:1C:55:5A,51458,-74,0.961038961,0.56,1.9,1
D9:C0:35:1C:55:5A,52628,-70,0.909090909,0.54,1.9,1
D9:C0:35:1C:55:5A,53775,-69,0.896103896,0.53,1.84,1
D9:C0:35:1C:55:5A,54884,-70,0.909090909,0.52,1.78,1
D9:C0:35:1C:55:5A,56082,-69,0.896103896,0.5,1.64,1
D9:C0:35:1C:55:5A,57202,-70,0.909090909,0.48,1.62,1
D9:C0:35:1C:55:5A,58379,-74,0.961038961,0.49,1.6,1
D9:C0:35:1C:55:5A,59517,-76,0.987012987,0.49,1.6,1
D9:C0:35:1C:55:5A,581,-73,0.948051948,0.73,2.57,1.5
D9:C0:35:1C:55:5A,1745,-74,0.961038961,0.71,2.55,1.5
D9:C0:35:1C:55:5A,2853,-73,0.948051948,0.71,2.49,1.5
D9:C0:35:1C:55:5A,4006,-73,0.948051948,0.7,2.44,1.5
D9:C0:35:1C:55:5A,5154,-72,0.935064935,0.68,2.38,1.5
D9:C0:35:1C:55:5A,6292,-72,0.935064935,0.67,2.32,1.5
D9:C0:35:1C:55:5A,7427,-71,0.922077922,0.65,2.25,1.5
D9:C0:35:1C:55:5A,8560,-73,0.948051948,0.63,2.24,1.5
D9:C0:35:1C:55:5A,9681,-71,0.922077922,0.6,2.19,1.5
D9:C0:35:1C:55:5A,10832,-72,0.935064935,0.58,2.17,1.5
D9:C0:35:1C:55:5A,11978,-68,0.883116883,0.55,2.07,1.5
D9:C0:35:1C:55:5A,13147,-67,0.87012987,0.52,1.97,1.5
D9:C0:35:1C:55:5A,14302,-67,0.87012987,0.49,1.89,1.5
D9:C0:35:1C:55:5A,15472,-70,0.909090909,0.48,1.85,1.5
D9:C0:35:1C:55:5A,16591,-70,0.909090909,0.46,1.83,1.5
